MacBook-Air-Maxim:module_08 kme$ docker-compose logs -t
Attaching to service_main, service_presentation, service_author
service_author          | 2023-05-21T20:49:05.389356179Z INFO:     Will watch for changes in these directories: ['/']
service_author          | 2023-05-21T20:49:05.390370611Z INFO:     Uvicorn running on http://0.0.0.0:8081 (Press CTRL+C to quit)
service_author          | 2023-05-21T20:49:05.394775151Z INFO:     Started reloader process [1] using WatchFiles
service_author          | 2023-05-21T20:49:06.634377531Z INFO:     Started server process [9]
service_author          | 2023-05-21T20:49:06.640901652Z INFO:     Waiting for application startup.
service_author          | 2023-05-21T20:49:06.641892999Z INFO:     Application startup complete.
service_author          | 2023-05-21T20:49:26.756488782Z <class 'list'>
service_author          | 2023-05-21T20:49:26.756691608Z INFO:     172.21.0.4:43184 - "GET /authors/1 HTTP/1.1" 200 OK
service_author          | 2023-05-21T20:49:28.313742022Z INFO:     172.21.0.4:43192 - "GET /authors/1 HTTP/1.1" 200 OK
service_author          | 2023-05-21T20:49:29.427006436Z INFO:     172.21.0.4:43200 - "GET /authors/1 HTTP/1.1" 200 OK
service_author          | 2023-05-21T20:50:16.687654831Z INFO:     Will watch for changes in these directories: ['/']
service_author          | 2023-05-21T20:50:16.688678213Z INFO:     Uvicorn running on http://0.0.0.0:8081 (Press CTRL+C to quit)
service_author          | 2023-05-21T20:50:16.688702848Z INFO:     Started reloader process [1] using WatchFiles
service_author          | 2023-05-21T20:50:18.261915584Z INFO:     Started server process [9]
service_author          | 2023-05-21T20:50:18.271404728Z INFO:     Waiting for application startup.
service_author          | 2023-05-21T20:50:18.272362731Z INFO:     Application startup complete.
service_author          | 2023-05-21T20:50:18.975618498Z <class 'list'>
service_author          | 2023-05-21T20:50:18.975657119Z INFO:     172.21.0.4:43268 - "GET /authors/1 HTTP/1.1" 200 OK
service_author          | 2023-05-21T20:50:22.064662671Z INFO:     172.21.0.4:43276 - "GET /authors/1 HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:05.513124667Z INFO:     Will watch for changes in these directories: ['/']
service_presentation    | 2023-05-21T20:49:05.515170243Z INFO:     Uvicorn running on http://0.0.0.0:8082 (Press CTRL+C to quit)
service_presentation    | 2023-05-21T20:49:05.515950930Z INFO:     Started reloader process [1] using WatchFiles
service_presentation    | 2023-05-21T20:49:06.827279005Z INFO:     Started server process [9]
service_presentation    | 2023-05-21T20:49:06.827304583Z INFO:     Waiting for application startup.
service_presentation    | 2023-05-21T20:49:06.837315812Z INFO:     Application startup complete.
service_presentation    | 2023-05-21T20:49:26.742308337Z <class 'list'>
service_presentation    | 2023-05-21T20:49:26.742367953Z INFO:     172.21.0.4:42390 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:28.307113027Z INFO:     172.21.0.4:42398 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:29.416636908Z INFO:     172.21.0.4:42406 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:48.921480467Z INFO:     172.21.0.4:42414 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:50.893099127Z INFO:     172.21.0.4:42420 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:52.069412848Z INFO:     172.21.0.4:42426 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:53.776760612Z INFO:     172.21.0.4:42432 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:55.016624821Z INFO:     172.21.0.4:42438 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:56.097054011Z INFO:     172.21.0.4:42444 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:57.308182249Z INFO:     172.21.0.4:42450 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:49:58.279561892Z INFO:     172.21.0.4:42456 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:50:08.052689618Z INFO:     172.21.0.4:42462 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:50:09.804505898Z INFO:     172.21.0.4:42468 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:50:18.956563828Z INFO:     172.21.0.4:42474 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_presentation    | 2023-05-21T20:50:22.044013423Z INFO:     172.21.0.4:42482 - "GET /presentations/First%20Presentation HTTP/1.1" 200 OK
service_main            | 2023-05-21T20:49:06.878175275Z INFO:     Will watch for changes in these directories: ['/']
service_main            | 2023-05-21T20:49:06.878733131Z INFO:     Uvicorn running on http://0.0.0.0:8083 (Press CTRL+C to quit)
service_main            | 2023-05-21T20:49:06.879605192Z INFO:     Started reloader process [1] using WatchFiles
service_main            | 2023-05-21T20:49:08.343599634Z INFO:     Started server process [8]
service_main            | 2023-05-21T20:49:08.343636924Z INFO:     Waiting for application startup.
service_main            | 2023-05-21T20:49:08.343968064Z INFO:     Application startup complete.
service_main            | 2023-05-21T20:49:09.348906609Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:09.364567542Z WARNING:root:
service_main            | 2023-05-21T20:49:10.367278305Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:10.391929776Z WARNING:root:
service_main            | 2023-05-21T20:49:11.396314778Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:11.442941842Z WARNING:root:
service_main            | 2023-05-21T20:49:12.459080255Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:12.477539779Z WARNING:root:
service_main            | 2023-05-21T20:49:13.482053976Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:13.526787678Z WARNING:root:
service_main            | 2023-05-21T20:49:14.529833337Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:14.579642161Z WARNING:root:
service_main            | 2023-05-21T20:49:15.583401126Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:15.616367707Z WARNING:root:
service_main            | 2023-05-21T20:49:16.620571738Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:16.664139829Z WARNING:root:
service_main            | 2023-05-21T20:49:17.676798460Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:17.699088395Z WARNING:root:
service_main            | 2023-05-21T20:49:18.702146883Z WARNING:root:Circuit "get_author" is "closed", failures: 0
service_main            | 2023-05-21T20:49:18.733556803Z WARNING:root:
